symbol	entrez	cor_ctrl	cor_hd	padj_ctrl	padj_hd	group
GPR142	350383	-0.431725628039729	-0.687381721295484	0.00692269789350792	0.0224071196595386	Both
EIF2B4	8890	-0.436530612244898	0.687218045112782	0.00619142183647755	0.0224071196595386	Both
LOC101929298	101929298	0.703775510204082	0.687218045112782	4.82949162229594e-07	0.0224071196595386	Both
F12	2161	0.450510204081633	0.687218045112782	0.00449317923558744	0.0224071196595386	Both
BOP1	23246	-0.257142857142857	0.687218045112782	0.138150334811284	0.0224071196595386	HD_only
CARS1	833	0.507448979591837	0.687218045112782	0.00102650315381156	0.0224071196595386	Both
LINC00644	101954204	0.565901043612155	0.687218045112782	0.000166321078753548	0.0224071196595386	Both
LARP6	55323	0.21765306122449	0.687218045112782	0.218867163057888	0.0224071196595386	HD_only
LOC101928212	101928212	-0.314183673469388	-0.687218045112782	0.0624424636111838	0.0224071196595386	HD_only
FBXO44	93611	0.176938775510204	0.685714285714286	0.329050715186873	0.0228669716965644	HD_only
ARID1A	8289	-0.748265306122449	-0.685714285714286	3.78223498473685e-08	0.0228669716965644	Both
CFAP126	257177	-0.132448979591837	-0.685714285714286	0.479527661434407	0.0228669716965644	HD_only
GNPAT	8443	0.385714285714286	0.685714285714286	0.0180204000325938	0.0228669716965644	HD_only
TMEM158	25907	0.369387755102041	0.685714285714286	0.0245778459593933	0.0228669716965644	HD_only
TRAPPC13	80006	0.672959183673469	0.685714285714286	2.29838785932587e-06	0.0228669716965644	Both
PFKP	5214	0.464897959183673	0.685714285714286	0.00315144864386154	0.0228669716965644	Both
MEIG1	644890	0.0164285714285714	0.685714285714286	0.938983989429368	0.0228669716965644	HD_only
RPP25	54913	0.281122448979592	0.685714285714286	0.10077397373295	0.0228669716965644	HD_only
PSMB3	5691	0.349795918367347	0.685714285714286	0.0348212049828557	0.0228669716965644	HD_only
CSF3	1440	-0.00320063366163127	-0.685714285714286	0.989064826931444	0.0228669716965644	HD_only
SNRPD1	6632	0.621020408163265	0.685714285714286	2.20486873826729e-05	0.0228669716965644	Both
HNRNPUL1	11100	-0.858265306122449	-0.685714285714286	3.79267485437863e-12	0.0228669716965644	Both
HDHD5	27440	-0.220510204081633	0.685714285714286	0.212055872597974	0.0228669716965644	HD_only
FTSJ1	24140	0.273061224489796	0.685714285714286	0.112391195628215	0.0228669716965644	HD_only
LOC107986129	107986129	-0.54765306122449	-0.685220055979393	0.000304503481934097	0.0230945167553362	Both
PRECSIT	283487	-0.242755102040816	-0.685220055979393	0.164183336277772	0.0230945167553362	HD_only
BRK1	55845	0.688163265306122	0.684210526315789	1.07574691433249e-06	0.0233629930778201	Both
SEMA5A	9037	0.0880612244897959	-0.684210526315789	0.652406155360986	0.0233629930778201	HD_only
CDK7	1022	0.731122448979592	0.684210526315789	1.07685096400545e-07	0.0233629930778201	Both
TMED9	54732	0.0241836734693878	0.684210526315789	0.908539862773631	0.0233629930778201	HD_only
